Name,Variety,Type,Germination Period (Days),Water Needs,Fertilization Needs,Companions,Common Pests,Sun Requirements,Time to Plant (Relation to Frost Dates)
Cucumber,Marketmore,Vegetable,7 to 10,High,Balanced NPK fertilizer,"Beans, Radishes, Corn",Cucumber beetles,Full sun (6-8 hours),After last frost
Cucumber,Boston Pickling,Vegetable,7 to 10,High,Balanced NPK fertilizer,"Beans, Radishes, Corn",Cucumber beetles,Full sun (6-8 hours),After last frost
Cucumber,Lemon,Vegetable,7 to 10,High,Balanced NPK fertilizer,"Beans, Radishes, Corn",Cucumber beetles,Full sun (6-8 hours),After last frost
Eggplant,Black Beauty,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Beans, Peppers, Marigold","Aphids, Flea beetles",Full sun (6-8 hours),1-2 weeks after last frost
Eggplant,Rosa Bianca,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Beans, Peppers, Marigold","Aphids, Flea beetles",Full sun (6-8 hours),1-2 weeks after last frost
Eggplant,Ichiban,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Beans, Peppers, Marigold","Aphids, Flea beetles",Full sun (6-8 hours),1-2 weeks after last frost
Cilantro,Santo,Herb,7 to 14,Moderate,"Low, compost","Tomato, Basil, Peppers","Aphids, Spider mites",Full sun to partial shade,After last frost
Cilantro,Calypso,Herb,7 to 14,Moderate,"Low, compost","Tomato, Basil, Peppers","Aphids, Spider mites",Full sun to partial shade,After last frost
Cilantro,Slo-Bolt,Herb,7 to 14,Moderate,"Low, compost","Tomato, Basil, Peppers","Aphids, Spider mites",Full sun to partial shade,After last frost
Kale,Lacinato,Vegetable,5 to 10,Moderate,Balanced NPK fertilizer,"Onion, Beet, Celery","Aphids, Cabbage worms",Full sun to partial shade,3-5 weeks before last frost
Kale,Red Russian,Vegetable,5 to 10,Moderate,Balanced NPK fertilizer,"Onion, Beet, Celery","Aphids, Cabbage worms",Full sun to partial shade,3-5 weeks before last frost
Kale,Dwarf Blue Curled,Vegetable,5 to 10,Moderate,Balanced NPK fertilizer,"Onion, Beet, Celery","Aphids, Cabbage worms",Full sun to partial shade,3-5 weeks before last frost
Parsley,Italian Flat Leaf,Herb,14 to 21,Moderate,"Low, compost","Tomato, Asparagus","Aphids, Spider mites",Full sun to partial shade,After last frost
Parsley,Curly Leaf,Herb,14 to 21,Moderate,"Low, compost","Tomato, Asparagus","Aphids, Spider mites",Full sun to partial shade,After last frost
Parsley,Hamburg Rooted,Herb,14 to 21,Moderate,"Low, compost","Tomato, Asparagus","Aphids, Spider mites",Full sun to partial shade,After last frost
Radish,Cherry Belle,Vegetable,3 to 10,Moderate,"Low, compost","Carrot, Lettuce, Pea","Flea beetles, Aphids",Full sun to partial shade,4-6 weeks before last frost
Radish,French Breakfast,Vegetable,3 to 10,Moderate,"Low, compost","Carrot, Lettuce, Pea","Flea beetles, Aphids",Full sun to partial shade,4-6 weeks before last frost
Radish,Daikon,Vegetable,3 to 10,Moderate,"Low, compost","Carrot, Lettuce, Pea","Flea beetles, Aphids",Full sun to partial shade,4-6 weeks before last frost
Pea,Sugar Snap,Vegetable,7 to 14,Moderate,"Low, compost","Carrot, Radish, Cucumber","Aphids, Weevils",Full sun to partial shade,4-6 weeks before last frost
Pea,Snow,Vegetable,7 to 14,Moderate,"Low, compost","Carrot, Radish, Cucumber","Aphids, Weevils",Full sun to partial shade,4-6 weeks before last frost
Pea,English,Vegetable,7 to 14,Moderate,"Low, compost","Carrot, Radish, Cucumber","Aphids, Weevils",Full sun to partial shade,4-6 weeks before last frost
Beet,Detroit Dark Red,Vegetable,5 to10,Moderate,"Low, compost","Onion, Cabbage, Lettuce","Aphids, Leaf miners",Full sun to partial shade,4-6 weeks before last frost
Beet,Chioggia,Vegetable,5 to 10,Moderate,"Low, compost","Onion, Cabbage, Lettuce","Aphids, Leaf miners",Full sun to partial shade,4-6 weeks before last frost
Beet,Golden,Vegetable,5 to 10,Moderate,"Low, compost","Onion, Cabbage, Lettuce","Aphids, Leaf miners",Full sun to partial shade,4-6 weeks before last frost
Chard,Rainbow,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Onion, Cabbage, Lettuce","Aphids, Leaf miners",Full sun to partial shade,2-3 weeks before last frost
Chard,Fordhook Giant,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Onion, Cabbage, Lettuce","Aphids, Leaf miners",Full sun to partial shade,2-3 weeks before last frost
Chard,Ruby Red,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Onion, Cabbage, Lettuce","Aphids, Leaf miners",Full sun to partial shade,2-3 weeks before last frost
Broccoli,Calabrese,Vegetable,7 to 10,Moderate,Balanced NPK fertilizer,"Onion, Beet, Celery","Aphids, Cabbage worms",Full sun (6-8 hours),4-6 weeks before last frost
Broccoli,Waltham 29,Vegetable,7 to 10,Moderate,Balanced NPK fertilizer,"Onion, Beet, Celery","Aphids, Cabbage worms",Full sun (6-8 hours),4-6 weeks before last frost
Broccoli,Purple Sprouting,Vegetable,7 to 10,Moderate,Balanced NPK fertilizer,"Onion, Beet, Celery","Aphids, Cabbage worms",Full sun (6-8 hours),4-6 weeks before last frost
Cauliflower,Snowball,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Onion, Beet, Celery","Aphids, Cabbage worms",Full sun (6-8 hours),4-6 weeks before last frost
Cauliflower,Cheddar,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Onion, Beet, Celery","Aphids, Cabbage worms",Full sun (6-8 hours),4-6 weeks before last frost
Cauliflower,Purple of Sicily,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Onion, Beet, Celery","Aphids, Cabbage worms",Full sun (6-8 hours),4-6 weeks before last frost
Tomato,Roma,Fruit,5 to 10,Moderate,Balanced NPK fertilizer,"Basil, Marigold, Carrot","Aphids, Hornworms",Full sun (6-8 hours),1-2 weeks after last frost
Tomato,Cherry,Fruit,5 to 10,Moderate,Balanced NPK fertilizer,"Basil, Marigold, Carrot","Aphids, Hornworms",Full sun (6-8 hours),1-2 weeks after last frost
Tomato,Beefsteak,Fruit,5 to 10,Moderate,Balanced NPK fertilizer,"Basil, Marigold, Carrot","Aphids, Hornworms",Full sun (6-8 hours),1-2 weeks after last frost
Basil,Genovese,Herb,5 to 10,Moderate,Organic compost,"Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Basil,Thai,Herb,5 to 10,Moderate,Organic compost,"Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Basil,Lemon,Herb,5 to 10,Moderate,Organic compost,"Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
